CMD_MIL_AREA,UF,MUNICIPIO,ENTIDADE,CURSO,LOCAL,INICIO,TERMINO,CARGA_HORARIA,EFETIVO_INICIAL,EFETIVO_FINAL,VALOR_HORA_AULA,VALOR_TOTAL
CMO,MS,Campo Grande,SENAC/ MS,Padeiro,Rua Francisco Cândido Xavier nº 75 - Centro -,2/10/2017,30/11/2017,300,10,10,"R$ 5,50","R$ 16.500,00"
CMO,MS,Campo Grande,SENAC/ MS,Auxiliar de Cozinha,Rua Francisco Cândido Xavier nº 75 - Centro -,18/9/2017,31/10/2017,200,20,20,"R$ 5,50","R$ 22.000,00"
CMO,MS,Campo Grande,SENAC/ MS,Pizzaiolo,Rua Francisco Cândido Xavier nº 75 - Centro -,11/9/2017,11/10/2017,160,20,20,"R$ 5,50","R$ 17.600,00"
CMO,MS,Campo Grande,SENAC/ MS,Cozineiro,Rua Francisco Cândido Xavier nº 75 - Centro -,21/8/2017,14/12/2017,550,10,10,"R$ 5,50","R$ 30.250,00"
CMO,MS,Corumbá/MS,SENAI - FATEC SENAI,ELETRICISTA INSTALADOR RESIDENCIAL,SENAI - FATEC SENAI,4/10/2017,1/11/2017,180,15,15,"R$ 6,50","R$ 17.550,00"
CMO,MS,Corumbá/MS,SENAI - FATEC SENAI,Intalador Hidráulico,SENAI - FATEC SENAI,4/10/2017,1/11/2017,160,15,15,"R$ 6,50","R$ 15.600,00"
CMP,DF,Brasília,SEST/SENAT,Cond. de veículo de transp. de produto perigo,SAMAMBAIA,9/8/2017,13/8/2017,50,25,25,"R$ 4,00","R$ 5.000,00"
CMP,DF,Brasília,SENAI,Padeiro,Taguatinga,16/10/2017,10/11/2017,160,20,20,"R$ 6,05","R$ 19.360,00"
CMP,DF,Brasília,SENAI,Instalador e reparador de fibra ótica,Taguatinga,2/10/2017,1/11/2017,160,23,23,"R$ 5,43","R$ 19.982,40"
CMP,DF,Brasília,LUGER,Formação de Vigilante,asa norte,7/8/2017,8/9/2017,200,46,45,"R$ 3,49","R$ 31.410,00"
CMP,DF,Brasília,SENAI,Pintor Residencial,Taguatinga,20/11/2017,18/12/2017,160,20,20,"R$ 5,48","R$ 17.536,00"
CMP,DF,Brasília,SENAI,Téc. produção de pães caseiros e artesanais,Setor Comercial,18/12/2017,21/12/2017,40,20,20,"R$ 7,92","R$ 6.336,00"
CMP,DF,Brasília,SEST/SENAT,Cond. de veículo de emergência,SAMAMBAIA,25/9/2017,29/9/2017,50,25,25,"R$ 4,00","R$ 5.000,00"
CMP,DF,Brasília,SENAI,Inst. e Mnt de aparelho de ar cond.,Taguatinga,9/10/2017,3/11/2017,160,21,21,"R$ 5,68","R$ 19.084,80"
CMP,DF,Brasília,SENAC,Editor Gráfico,Setor Comercial,23/10/2017,10/11/2017,200,21,21,"R$ 5,43","R$ 22.806,00"
CMP,DF,Brasília,SEST/SENAT,Condutor de veículos coletivo de Transp passageiro,SAMAMBAIA,20/11/2017,24/11/2017,50,25,25,"R$ 4,00","R$ 5.000,00"
CMP,DF,Brasília,LUGER,Formação de Vigilante,asa norte,3/7/2017,4/8/2017,200,46,45,"R$ 3,49","R$ 31.410,00"
CMP,DF,Brasília,SENAI,Pedreiro,Taguatinga,2/10/2017,1/11/2017,160,20,20,"R$ 5,48","R$ 17.536,00"
CMP,DF,Brasília,SENAI,Curso Drywall com Acabamento em Pintura Resid,Taguatinga,18/12/2017,19/1/2018,160,16,16,"R$ 7,38","R$ 18.892,80"
CMP,DF,Brasília,SEST/SENAT,Cond. de veículo coletivo de transp de passag,SAMAMBAIA,2/10/2017,6/10/2017,50,22,22,"R$ 4,00","R$ 4.400,00"
CMP,DF,Brasília,SENAI,Encanador e instalador predial,Taguatinga,18/9/2017,6/10/2017,160,21,21,"R$ 4,83","R$ 16.228,80"
CMP,DF,Brasília,SENAI,Web Designer,Taguatinga,25/9/2017,27/10/2017,160,22,22,"R$ 4,32","R$ 15.206,40"
CMP,DF,Brasília,LUGER,Formação de Vigilante,asa norte,29/5/2017,30/6/2017,200,45,45,"R$ 3,49","R$ 31.410,00"
CMP,DF,Brasília,SENAI,Marceneiro de Móveis,Taguatinga,9/10/2017,3/11/2017,160,20,20,"R$ 6,85","R$ 21.920,00"
CMP,DF,Brasília,LUGER,Formação de Vigilante,asa norte,8/11/2017,13/12/2017,200,40,40,"R$ 3,49","R$ 27.920,00"
CMP,DF,Brasília,SENAI,Eletricista Predial,Taguatinga,18/9/2017,6/10/2017,160,21,21,"R$ 6,72","R$ 22.579,20"
CMP,DF,Brasília,SENAI,Confeiteiro,Taguatinga,25/9/2017,27/10/2017,240,21,21,"R$ 5,49","R$ 27.669,60"
